Genome ID,Completeness,Phylum,Class,Order,Family,Genus,Species,FliF,FliG,FliI,FliR,FlhA,FlhB,FlgB,FlgC,FlgE,FlgK,FliE,FliP,FliQ,MotA,MotB,FliH,FliM,FliK,FlgD,FlgL,FliO,FliC,FliJ,FliL,FlgN,FlgF,FlgG,FliS,FliD,FliA,FlhF,PilZ/YcgR,FliT,FlgJ,FlgM,FlhG,FlgI,FlgH,FlgA,FlaG,FliW,MotE,CsrA,FlgR/FlrC/FlrA/FlaK/FlbD,SwrB/FlgW,SwrD,Flagellar_put/Putative,yvyF,YviE/DUF6470,FlaF,FliB,MotC,MotK,MotX ,MotY,PflA,PflB,FlcA,FlcB,FlcC,FlcD,FlbT,FlgP,FlgT,FliZ,tPilZ/FlgX,FlhC,FlhD,DUF327,FapA/DUF342,DUF1217,FlgO,FlaY,YdiV,FlhE,FlgQ,flk,Glucosaminidase,SwrA,FljA,SLT/Transglycosylase,FliN/FliY
GCF_003226595.1,97.8,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Geodermatophilaceae,g__Modestobacter,s__Modestobacter versicolor,WP_110551996.1,WP_110551997.1,WP_110554395.1,WP_110551687.1,WP_110551685.1,WP_110551686.1,WP_220035918.1,WP_110551994.1,WP_110553443.1,WP_110551985.1,WP_110551995.1,WP_258372654.1,WP_110551688.1,WP_110553445.1,WP_110553446.1,WP_220036133.1,WP_110553448.1,WP_146251784.1,WP_110553442.1,WP_110551984.1,WP_110553450.1,"WP_110551988.1,WP_246405427.1",WP_258373090.1,WP_110553447.1,WP_110551986.1,,,WP_110551992.1,WP_181428744.1,WP_258372686.1,,WP_110551091.1,WP_110551993.1,,,,,,,,,,WP_110551983.1,,,WP_110553444.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_220036138.1,WP_110553449.1
GCF_002934265.1,100.0,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Pseudonocardiaceae,g__Actinokineospora,s__Actinokineospora auranticolor,WP_104480445.1,WP_104480446.1,WP_245931404.1,WP_245931406.1,WP_104480467.1,WP_104480463.1,WP_104480442.1,WP_104480443.1,WP_104480453.1,WP_104480436.1,WP_104480444.1,WP_104480461.1,WP_104480462.1,WP_245931405.1,WP_104480456.1,WP_146108113.1,WP_104480458.1,WP_245931416.1,WP_104480452.1,WP_104480435.1,WP_104480460.1,WP_104480438.1,WP_104480449.1,WP_104480457.1,WP_104480533.1,,,WP_104480440.1,WP_104480439.1,WP_104480437.1,,,WP_104480441.1,,,,,,,,WP_104480434.1,,,,,WP_104480454.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_104480450.1,WP_104480459.1
GCF_000585375.1,100.0,p__Actinomycetota,c__Actinomycetia,o__Mycobacteriales,f__Cryptosporangiaceae,g__Cryptosporangium,s__Cryptosporangium arvum,WP_035850120.1,WP_035850118.1,WP_035861609.1,WP_035850091.1,WP_051569986.1,WP_035850089.1,WP_211247373.1,WP_035850123.1,WP_035850109.1,WP_035850137.1,WP_211247372.1,WP_035850095.1,WP_035850093.1,WP_035850105.1,WP_035850103.1,WP_051569989.1,WP_035850099.1,WP_157017558.1,WP_063725693.1,WP_157017560.1,WP_051569988.1,WP_035850133.1,WP_035850116.1,WP_035850101.1,WP_035850136.1,,,WP_035850129.1,WP_035850131.1,WP_035861624.1,,WP_035848353.1,WP_035850127.1,,,,,,,,WP_051569991.1,,,,,WP_211247370.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_211247371.1,WP_035850097.1
GCF_000744775.1,97.82,p__Chloroflexota,c__Chloroflexia,o__Thermomicrobiales,f__Thermomicrobiaceae,g__Thermorudis,s__Thermorudis peleae,WP_038037660.1,WP_081886772.1,WP_038037662.1,WP_038037622.1,WP_038037625.1,WP_038037623.1,WP_038037665.1,WP_038037656.1,WP_038037667.1,WP_038037633.1,WP_038037658.1,WP_051913857.1,WP_038037621.1,WP_038037619.1,WP_051913855.1,WP_038037661.1,WP_051913853.1,WP_197066253.1,WP_051913873.1,WP_038037635.1,WP_038037616.1,WP_038037636.1,WP_038037663.1,WP_038037618.1,WP_038037632.1,WP_038037630.1,WP_051913862.1,WP_038037652.1,WP_051913870.1,WP_051913859.1,WP_038037626.1,WP_038037542.1,WP_197066252.1,,WP_038037631.1,,,,,WP_038037650.1,WP_081886768.1,,WP_051913863.1,,WP_038037629.1,WP_038037620.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_038037664.1,WP_038037617.1
GCF_001050195.2,96.36,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__Anaerolinea,s__Anaerolinea thermolimosa,WP_062194906.1,WP_062194903.1,WP_062194897.1,WP_062195010.1,WP_062195007.1,"WP_062195008.1,WP_201797984.1",WP_062194891.1,WP_062194911.1,WP_062194883.1,WP_062194982.1,WP_062194908.1,WP_114679504.1,WP_062195028.1,WP_084001459.1,WP_062195043.1,WP_084001449.1,WP_062195038.1,WP_062194889.1,WP_062194887.1,WP_062194979.1,WP_062195031.1,"WP_062194931.1,WP_062194936.1",WP_062194893.1,WP_062195040.1,WP_062194985.1,WP_062194993.1,WP_062194990.1,WP_062194913.1,"WP_062194928.1,WP_084001451.1",WP_062194999.1,WP_062195005.1,WP_162787719.1,,,WP_062194987.1,,,,,WP_062194922.1,,,WP_084001457.1,,WP_062194996.1,WP_062195082.1,WP_062194885.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_084001445.1,WP_062195033.1
GCA_004297765.1,96.2,p__Chloroflexota,c__Dehalococcoidia,o__FW602-bin16,f__FW602-bin16,g__FW602-bin16,s__FW602-bin16 sp004297765,TAK31909.1,TAK31910.1,TAK31912.1,TAK32265.1,TAK32263.1,TAK32264.1,TAK31914.1,TAK26879.1,TAK31917.1,TAK32253.1,TAK26878.1,TAK32267.1,TAK32266.1,TAK32915.1,TAK32914.1,TAK31911.1,TAK32912.1,TAK31915.1,TAK31916.1,TAK32252.1,TAK32910.1,"TAK36167.1,TAK36168.1",TAK31913.1,TAK32913.1,TAK32254.1,TAK32257.1,TAK32256.1,TAK26882.1,TAK26883.1,TAK32260.1,TAK32262.1,,TAK26881.1,,TAK32255.1,,,,,TAK26884.1,TAK32251.1,,TAK32250.1,,TAK32259.1,TAK32916.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TAK31932.1,TAK32911.1
GCA_002898895.1,89.66,p__Armatimonadota,c__HRBIN16,o__HRBIN16,f__HRBIN16,g__HRBIN16,s__HRBIN16 sp002898895,GBC95412.1,GBC95411.1,GBC95409.1,GBC95663.1,GBC97274.1,GBC96841.1,GBC95415.1,GBC95414.1,GBC96355.1,GBC96462.1,GBC95413.1,GBC95661.1,GBC95662.1,"GBC96353.1,GBC97060.1","GBC96352.1,GBC97059.1",,GBC96350.1,GBC96358.1,GBC96357.1,GBC96461.1,GBC96348.1,"GBC95276.1,GBC96772.1",GBC95408.1,GBC96351.1,"GBC94466.1,GBC96463.1",GBC97443.1,GBC97444.1,GBC97369.1,GBC97370.1,GBC94434.1,GBC97273.1,"GBC94673.1,GBC95426.1",GBC97368.1,GBC96464.1,GBC97416.1,GBC94431.1,GBC96465.1,GBC97446.1,GBC97445.1,,GBC96460.1,GBC95406.1,GBC96459.1,,,GBC96354.1,GBC96356.1,,,,,,,,,,,,,,,,,,,,,,,GBC94349.1,,,,,,,,,,,GBC95407.1,GBC96349.1
GCF_003574315.1,97.22,p__Armatimonadota,c__Armatimonadia,o__Armatimonadales,f__Capsulimonadaceae,g__Capsulimonas,s__Capsulimonas corticalis,WP_119320504.1,WP_119320505.1,WP_119320507.1,WP_119322018.1,WP_119319597.1,"WP_119322017.1,WP_119324108.1",WP_119320501.1,WP_119320502.1,WP_119319531.1,WP_119320242.1,WP_165864093.1,WP_119319539.1,WP_119322019.1,WP_119319533.1,WP_119319534.1,WP_119320506.1,WP_119319536.1,"WP_119319528.1,WP_119324107.1",WP_119319529.1,WP_119320241.1,WP_119319538.1,WP_119320299.1,WP_119320508.1,WP_119319535.1,WP_119320243.1,WP_165864013.1,WP_119320248.1,WP_119320301.1,WP_119320300.1,WP_119324137.1,WP_165863926.1,"WP_119320983.1,WP_119321266.1,WP_119321267.1,WP_119321467.1",WP_119320302.1,WP_119320244.1,WP_119324339.1,,WP_119320245.1,WP_119320246.1,WP_119320247.1,,WP_119320240.1,"WP_119320510.1,WP_119324214.1",WP_119320239.1,,,WP_119319532.1,WP_119319530.1,,,,,,,,,,,,,,,,,,,,,,,WP_119320536.1,,,,,,,,,,,WP_119320509.1,WP_119319537.1
GCF_000427095.1,95.65,p__Armatimonadota,c__Chthonomonadetes,o__Chthonomonadales,f__Chthonomonadaceae,g__Chthonomonas,s__Chthonomonas calidirosea,WP_016482602.1,WP_016482603.1,WP_016482605.1,WP_016481431.1,WP_016483449.1,"WP_016481430.1,WP_081648210.1",WP_016482599.1,WP_016482600.1,WP_016483426.1,WP_016483415.1,WP_016482601.1,WP_016482001.1,WP_016481432.1,"WP_016482113.1,WP_016483428.1","WP_016482112.1,WP_016483429.1",WP_016482604.1,WP_016482004.1,WP_016483423.1,WP_016483424.1,WP_016483416.1,WP_016482002.1,"WP_016483897.1,WP_231730021.1",WP_016482511.1,WP_016483430.1,WP_016483414.1,WP_016483408.1,WP_016483409.1,WP_016482592.1,WP_081648293.1,WP_016482363.1,WP_016482317.1,"WP_016483466.1,WP_016483467.1,WP_016483750.1",WP_016482591.1,WP_016483413.1,WP_016483237.1,WP_016482365.1,WP_016483412.1,WP_016483411.1,WP_016483410.1,,WP_075060780.1,WP_016482513.1,WP_016483128.1,,WP_016482361.1,WP_016483427.1,WP_016483425.1,,,,,,,,,,,,,,,,,,,,,,,WP_016483168.1,,,,,,,,,,,WP_016482512.1,WP_016482003.1
GCF_001544015.1,92.16,p__Bacillota_G,c__Limnochordia,o__Limnochordales,f__Limnochordaceae,g__Limnochorda,s__Limnochorda pilosa,WP_082726016.1,WP_231699355.1,WP_231699356.1,WP_068136477.1,WP_068141742.1,WP_068136481.1,WP_068136427.1,WP_231699354.1,WP_068136457.1,WP_068139680.1,WP_068136434.1,WP_068136475.1,WP_269433382.1,WP_068141737.1,WP_068136459.1,WP_068136439.1,"WP_068139655.1,WP_198409774.1",WP_068136447.1,WP_068136450.1,WP_082726363.1,WP_068136471.1,WP_068138249.1,WP_068136442.1,WP_068136462.1,WP_068139682.1,WP_068139944.1,WP_068139942.1,WP_068139664.1,WP_068139668.1,WP_068136492.1,WP_082726019.1,WP_068136490.1,WP_068142076.1,WP_068139931.1,WP_068139686.1,"WP_068136487.1,WP_068141199.1",WP_068139933.1,WP_082726395.1,WP_068139938.1,WP_082726362.1,WP_068139676.1,WP_068136445.1,WP_068139673.1,,,,WP_082726018.1,WP_144440513.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WP_068136468.1,WP_068139652.1"
GCF_004340685.1,93.64,p__Bacillota_G,c__UBA4882,o__UBA8346,f__UBA8346,g__Hydrogenispora,s__Hydrogenispora ethanolica,WP_132014776.1,WP_132014777.1,WP_132014779.1,WP_132014795.1,WP_132014797.1,"WP_132014796.1,WP_132017217.1",WP_132014773.1,WP_132014774.1,"WP_132014785.1,WP_132017003.1","WP_132015127.1,WP_132016999.1,WP_132017001.1",WP_132014775.1,WP_132014834.1,WP_132014794.1,"WP_132012194.1,WP_132014787.1,WP_132015684.1","WP_132012195.1,WP_132014788.1,WP_132015685.1",WP_132014778.1,WP_132014790.1,"WP_132014782.1,WP_132017215.1","WP_132014783.1,WP_132017005.1","WP_132015126.1,WP_132016998.1",WP_165908004.1,"WP_132012860.1,WP_132013944.1,WP_132017023.1,WP_165907906.1,WP_165907907.1",WP_132014780.1,WP_132014789.1,WP_132015128.1,WP_165907780.1,WP_132012935.1,WP_132013951.1,"WP_132013949.1,WP_132016996.1",WP_132014805.1,WP_132014798.1,WP_132014800.1,"WP_132013950.1,WP_132016994.1",WP_132012939.1,WP_132015129.1,WP_132014799.1,WP_132012938.1,WP_132012937.1,WP_132012936.1,WP_132013948.1,WP_165908045.1,WP_132014781.1,WP_132015124.1,,WP_132014808.1,WP_132014786.1,WP_132014784.1,WP_132015130.1,,,,,,,,,,,,,,,,,,,,,,WP_132014806.1,,,,,,,,,,,,WP_132014791.1
GCF_900142995.1,95.19,p__Bacillota_A,c__Thermosediminibacteria,o__Thermosediminibacterales,f__Thermosediminibacteraceae,g__Caldanaerovirga,s__Caldanaerovirga acetigignens,WP_073253433.1,WP_073253436.1,WP_073253439.1,WP_073253477.1,WP_073253483.1,"WP_073253480.1,WP_244269738.1",WP_143156170.1,WP_073253427.1,WP_073253454.1,WP_073255488.1,WP_073253430.1,WP_244269704.1,WP_073253474.1,WP_073253459.1,WP_143156171.1,WP_084098526.1,WP_073253465.1,WP_073253448.1,WP_244269701.1,WP_073255364.1,WP_073253471.1,WP_073255340.1,WP_073253442.1,WP_073253462.1,WP_073255367.1,WP_073257363.1,WP_073257360.1,WP_073255206.1,WP_073255209.1,WP_073253504.1,WP_073253486.1,WP_073253492.1,WP_143156206.1,WP_073257358.1,WP_073255369.1,WP_084098535.1,,,,WP_073255212.1,WP_073255352.1,WP_073253445.1,WP_073255349.1,,,WP_244269702.1,WP_084098529.1,WP_073255372.1,WP_073255361.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_244269703.1
GCF_000022325.1,100.0,p__Bacillota_A,c__Thermoanaerobacteria,o__Caldicellulosiruptorales,f__Caldicellulosiruptoraceae,g__Caldicellulosiruptor,s__Caldicellulosiruptor bescii,WP_015908510.1,WP_013429519.1,WP_015908508.1,WP_013429535.1,WP_015908495.1,"WP_015907496.1,WP_015908496.1",WP_015908513.1,WP_041727191.1,WP_015908502.1,WP_015908102.1,WP_015908511.1,WP_079504034.1,WP_015908497.1,WP_015907583.1,WP_013430567.1,WP_015908509.1,WP_015908501.1,"WP_015907495.1,WP_015908505.1",WP_015908504.1,WP_015908101.1,WP_015908499.1,WP_015908091.1,WP_015908507.1,WP_013429529.1,WP_015908103.1,WP_015908662.1,WP_015908661.1,WP_015908079.1,WP_015908080.1,WP_015908486.1,WP_015908494.1,WP_015908492.1,WP_015908078.1,WP_015908660.1,WP_015908104.1,WP_015908493.1,,,,WP_015908081.1,WP_015908097.1,WP_015907645.1,WP_015908096.1,,WP_015908483.1,WP_013429528.1,WP_015908503.1,WP_013430025.1,WP_015908100.1,,,,,,,,,,,,,,,,,,,,,WP_015908485.1,,,,,,,,,,,,WP_015908500.1
GCF_000701665.1,99.33,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__Agathobaculum,s__Agathobaculum desmolans,WP_031472457.1,WP_031472455.1,WP_031472451.1,WP_031472421.1,WP_031472417.1,"WP_031472419.1,WP_051643003.1",WP_031472463.1,WP_031472461.1,WP_031472441.1,WP_051643002.1,WP_031472459.1,WP_031472425.1,WP_242840209.1,WP_031472437.1,WP_031472435.1,WP_078096860.1,WP_031472433.1,WP_031472447.1,WP_031472445.1,WP_031472357.1,WP_161645935.1,"WP_031472399.1,WP_031475621.1",WP_031472449.1,,WP_031472361.1,WP_031472413.1,WP_031472411.1,WP_031472387.1,WP_031472385.1,WP_031472415.1,,WP_031472377.1,WP_031472389.1,,WP_031472363.1,,,,,,WP_031472354.1,,"WP_031472353.1,WP_031475619.1",,,WP_031472439.1,WP_031472443.1,,WP_031472355.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_031472431.1
GCF_002201475.1,97.99,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__Acutalibacter,s__Acutalibacter muris,WP_066539675.1,WP_066541950.1,WP_066539677.1,WP_066539721.1,WP_066539723.1,"WP_066539722.1,WP_236757250.1",WP_066539670.1,WP_066539671.1,WP_066539689.1,WP_066539643.1,WP_066539674.1,WP_066539716.1,WP_066539719.1,WP_066539693.1,WP_066539695.1,WP_066539676.1,WP_066539704.1,WP_066539683.1,WP_066539685.1,WP_066539646.1,WP_066539711.1,WP_066536851.1,WP_066539678.1,,WP_066539641.1,WP_066539727.1,WP_066539730.1,WP_066539664.1,WP_066539663.1,WP_066539725.1,,WP_066539633.1,WP_066539665.1,,WP_066539639.1,,,,,,WP_066539651.1,,WP_066539653.1,,,WP_066539691.1,WP_066539687.1,,WP_066539650.1,,,,,,,,,,,,,,,,,,,,,WP_066534189.1,,,,,,,,,,,,WP_066539709.1
GCF_900199435.1,97.99,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Pygmaiobacter,s__Pygmaiobacter massiliensis,WP_102050703.1,WP_242965928.1,WP_102050705.1,WP_102050718.1,WP_102050720.1,"WP_102050696.1,WP_102050719.1",WP_102050700.1,WP_102050701.1,WP_242965930.1,WP_102050688.1,WP_102050702.1,WP_102050716.1,WP_102050717.1,WP_102050711.1,WP_102050712.1,WP_102050704.1,WP_102050713.1,"WP_145995724.1,WP_180950347.1",WP_180950348.1,WP_102050687.1,WP_180950349.1,WP_102051085.1,WP_102050706.1,,WP_102050689.1,WP_102050721.1,WP_102050722.1,WP_102050728.1,WP_242965935.1,WP_242965932.1,,WP_102050697.1,WP_102050729.1,,WP_145995761.1,,,,,,WP_102050685.1,,WP_102050684.1,,WP_102049652.1,WP_102050710.1,WP_102050709.1,,WP_102050686.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GCF_002252565.1,98.6,p__Bacillota_A,c__Clostridia,o__SK-Y3,f__SK-Y3,g__Petroclostridium,s__Petroclostridium xylanilyticum,WP_094547438.1,WP_094547436.1,WP_242965066.1,WP_094547404.1,WP_094547400.1,"WP_094546608.1,WP_094547402.1",WP_094547444.1,WP_094547442.1,WP_094547424.1,"WP_094548937.1,WP_157910260.1",WP_094547440.1,WP_094547408.1,WP_094547406.1,WP_094547659.1,WP_094547420.1,WP_094547435.1,WP_094547416.1,"WP_094546606.1,WP_094547427.1",WP_094547426.1,WP_094548935.1,WP_094547410.1,WP_094548927.1,WP_094547431.1,WP_157910209.1,"WP_094548867.1,WP_094548941.1",WP_094549061.1,WP_094549059.1,WP_242965142.1,WP_094548871.1,WP_094547383.1,WP_094547399.1,"WP_094547395.1,WP_094548766.1,WP_157910357.1",WP_094548869.1,WP_094549057.1,WP_094548943.1,WP_094547397.1,,,,WP_094548925.1,WP_094548931.1,WP_094547429.1,WP_094548929.1,,WP_198543756.1,WP_094547422.1,WP_242965055.1,"WP_094548945.1,WP_094549849.1",WP_094548933.1,,,,,,,,,,,,,,,,,,,,,WP_094547381.1,,,,,,,,,,,,WP_094547414.1
GCF_000621505.1,100.0,p__Bacillota_A,c__Clostridia,o__Acetivibrionales,f__DSM-27016,g__Ruminiclostridium,s__Ruminiclostridium cellobioparum,WP_027629544.1,WP_051066612.1,WP_117407516.1,WP_027629108.1,WP_004626317.1,"WP_004627073.1,WP_027629109.1",WP_004626917.1,WP_027629546.1,WP_027629539.1,"WP_027630258.1,WP_027630259.1",WP_027629545.1,WP_242842095.1,WP_004626278.1,"WP_004625613.1,WP_004628369.1","WP_027629021.1,WP_027629788.1",WP_027629543.1,WP_027629536.1,"WP_027627914.1,WP_034861817.1",WP_034861814.1,WP_117407531.1,WP_084331254.1,WP_027630254.1,WP_004626987.1,WP_027629537.1,WP_027630260.1,WP_027629447.1,WP_004628830.1,WP_027630251.1,WP_027630252.1,WP_027629117.1,WP_027629110.1,"WP_027627251.1,WP_027629112.1",WP_027630250.1,WP_027629448.1,WP_027630261.1,WP_027629111.1,,,,WP_027630253.1,WP_027630256.1,WP_004626983.1,WP_027630255.1,,WP_027629119.1,WP_027629538.1,WP_027629540.1,WP_027628896.1,WP_027630257.1,,,,,,,,,,,,,,,,,,,,,"WP_027629118.1,WP_027628339.1",,,,,,,,,,,,WP_027629535.1
GCF_900115365.1,99.78,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerocolumna,s__Anaerocolumna aminovalerica,WP_091688151.1,WP_091688149.1,WP_091688164.1,WP_091688118.1,WP_091688114.1,"WP_091688116.1,WP_242960823.1",WP_091688158.1,WP_091688156.1,WP_091688136.1,"WP_091685009.1,WP_091685011.1",WP_170848054.1,WP_242961037.1,WP_091688120.1,WP_091688132.1,WP_242961038.1,WP_091688147.1,WP_091688128.1,"WP_091683877.1,WP_091687012.1,WP_091688141.1",WP_091688139.1,WP_091685008.1,WP_091688122.1,"WP_091684998.1,WP_242960977.1",WP_091688145.1,WP_091688130.1,WP_091685012.1,WP_091687703.1,WP_091687702.1,"WP_091685001.1,WP_091687010.1",WP_091685002.1,WP_091688094.1,WP_091688112.1,"WP_091683889.1,WP_091688108.1",WP_091684999.1,WP_091687701.1,WP_091685014.1,WP_091688110.1,,,,WP_091685003.1,WP_091685006.1,WP_091688143.1,WP_091685005.1,,WP_091688088.1,WP_091688134.1,WP_091688138.1,"WP_091687396.1,WP_091687697.1",,,,,,,,,,,,,,,,,,,,,,WP_091688092.1,,,,,,,,,,,,WP_091688126.1
GCF_001311925.1,98.43,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Cellulosilyticaceae,g__Cellulosilyticum,s__Cellulosilyticum ruminicola,WP_054738608.1,WP_054738800.1,null,WP_054738641.1,WP_054738643.1,WP_054740515.1,WP_083461185.1,WP_054738604.1,WP_054738619.1,"WP_054739635.1,WP_054739637.1",WP_054738606.1,WP_242861357.1,WP_054738638.1,null,WP_054738622.1,WP_054738610.1,WP_054738624.1,"WP_054738616.1,WP_054740518.1",WP_054738617.1,WP_054739633.1,WP_054738632.1,"WP_054739623.1,WP_054739625.1,WP_054739632.1,WP_054742738.1",WP_054738612.1,WP_054740453.1,WP_054739639.1,WP_054739654.1,WP_054739652.1,"WP_054739614.1,WP_054742739.1",WP_054739616.1,WP_054738661.1,WP_054738645.1,,WP_054739612.1,WP_054739650.1,WP_054739641.1,WP_054738647.1,,,,WP_054739618.1,WP_054739629.1,WP_054738614.1,WP_054739627.1,,WP_054738664.1,WP_054738621.1,,"WP_054739642.1,WP_054739644.1",,,,,,,,,,,,,,,,,,,,,,WP_054739708.1,,,,,,,,,,,,
GCF_000213255.1,97.98,p__Bacillota_A,c__Clostridia,o__Mahellales,f__Mahellaceae,g__Mahella,s__Mahella australiensis,WP_013780480.1,WP_013780481.1,WP_216086275.1,WP_041644330.1,WP_013780502.1,WP_013780501.1,WP_013780477.1,WP_013780478.1,WP_013780489.1,WP_013781941.1,WP_013780479.1,WP_013780498.1,WP_013780499.1,WP_013780491.1,WP_013780492.1,WP_041643842.1,WP_013780494.1,WP_083809836.1,WP_013780487.1,WP_013781940.1,WP_013780497.1,"WP_013781192.1,WP_013781193.1",WP_013780484.1,WP_013780493.1,WP_013781942.1,WP_013779985.1,WP_013779986.1,WP_013782287.1,WP_013782286.1,WP_013780511.1,WP_013780503.1,WP_041643848.1,WP_041644165.1,,WP_013781943.1,WP_013780504.1,,,,WP_013781191.1,WP_013781939.1,WP_013780485.1,WP_013781938.1,,WP_013780514.1,WP_013780490.1,WP_041643845.1,WP_013781944.1,,,,,,,,,,,,,,,,,,,,,,WP_013780512.1,,,,,,,,,,,,WP_013780495.1
GCF_000020165.1,100.0,p__Bacillota_A,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium cagae,WP_012425756.1,WP_012424342.1,WP_012424666.1,WP_012423993.1,WP_012423076.1,"WP_003374189.1,WP_012423993.1",WP_012423161.1,WP_012425597.1,"WP_012423111.1,WP_012425401.1",WP_012425065.1,WP_012425023.1,WP_012425418.1,WP_012424486.1,"WP_012422730.1,WP_012423097.1","WP_012422968.1,WP_012423782.1",WP_012423799.1,WP_012423738.1,"WP_012422803.1,WP_012424790.1",WP_012424976.1,WP_012424639.1,WP_052295154.1,"WP_012422947.1,WP_012423163.1,WP_012424484.1,WP_012425056.1",WP_012423536.1,"WP_012423665.1,WP_012425882.1",WP_012423918.1,WP_012422902.1,WP_012425719.1,WP_012424473.1,WP_012423780.1,WP_012425195.1,WP_012423305.1,WP_012422855.1,WP_012422621.1,,WP_012425209.1,WP_012425608.1,,,,WP_012423228.1,WP_012425376.1,,"WP_004443308.1,WP_012424175.1",,,WP_012424519.1,WP_003372276.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WP_012425031.1
GCF_000426305.1,99.29,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__Anaerovorax,s__Anaerovorax odorimutans,WP_051280740.1,WP_027400170.1,WP_245570869.1,WP_027400156.1,WP_027400136.1,"WP_027400153.1,WP_027400155.1",WP_027400137.1,WP_027400173.1,WP_245570874.1,WP_027400146.1,WP_027400172.1,WP_027400158.1,WP_027400157.1,WP_027400162.1,WP_037373214.1,WP_051280738.1,WP_027400161.1,WP_027400167.1,WP_027400166.1,WP_027400147.1,WP_051280736.1,"WP_027400151.1,WP_245570865.1",WP_027400168.1,,WP_027400145.1,WP_051280734.1,WP_027399711.1,WP_037372982.1,WP_027399716.1,WP_027400135.1,,WP_027400139.1,WP_027399717.1,,WP_027400144.1,,,,,,WP_027400149.1,,WP_027400150.1,,,WP_027400163.1,WP_027400165.1,,WP_027400148.1,,WP_027400152.1,,,,,,,,,,,,,,,,,,,WP_027399712.1,,,,,,,,,,,,WP_027400160.1
GCF_000438845.1,99.51,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Peptostreptococcaceae,g__Clostridioides,s__Clostridioides difficile,WP_009895335.1,WP_009895336.1,WP_009895338.1,WP_018112702.1,WP_009895344.1,WP_018112702.1,WP_009895332.1,WP_009895333.1,WP_003435994.1,WP_003436045.1,WP_009895334.1,WP_003435977.1,WP_003435976.1,"WP_003425220.1,WP_009895793.1","WP_003435983.1,WP_009895795.1",WP_225722701.1,WP_009895353.1,WP_009895340.1,WP_009895341.1,WP_003436043.1,WP_009895342.1,WP_009895327.1,WP_020397802.1,WP_003435981.1,WP_009895322.1,WP_003435967.1,WP_009895351.1,"WP_009895324.1,WP_009895325.1",WP_009895326.1,WP_003435969.1,WP_009895345.1,,WP_003436034.1,,WP_003436049.1,WP_009895347.1,,,,,WP_021358782.1,,WP_003436039.1,,,WP_003425222.1,,,,,,,,,,,,,,,,,,,,,,,WP_003436052.1,,,,,,,,,,,,WP_009895321.1,"WP_003425190.1,WP_003436051.1"
GCF_000620125.1,99.3,p__Bacillota_A,c__Clostridia,o__Tissierellales,f__Clostridiisalibacteraceae,g__Clostridiisalibacter,s__Clostridiisalibacter paucivorans,WP_026893855.1,WP_026893854.1,WP_084489496.1,WP_026893836.1,WP_026893834.1,"WP_026893835.1,WP_026893866.1",WP_026893858.1,WP_026893857.1,WP_026893846.1,"WP_026895469.1,WP_034601246.1",WP_026893856.1,WP_026893838.1,WP_026893837.1,"WP_026895146.1,WP_250160290.1","WP_026893844.1,WP_051531351.1",WP_026893853.1,WP_026893842.1,"WP_026893849.1,WP_026893867.1",WP_026893848.1,WP_026894434.1,WP_026893839.1,WP_026894440.1,WP_026893851.1,WP_026893843.1,WP_034601959.1,WP_026895774.1,WP_026895775.1,WP_026894455.1,WP_026894454.1,WP_026893825.1,WP_026893833.1,WP_026893831.1,WP_026894456.1,WP_026895776.1,WP_026895471.1,WP_026893832.1,,,,WP_026894453.1,WP_026894436.1,WP_026893850.1,WP_026894437.1,,WP_026893822.1,WP_026893845.1,WP_026893847.1,WP_026895472.1,WP_026894435.1,,,,,,,,,,,,,,,,,,,,,WP_051531021.1,,,,,,,,,,,,WP_026893841.1
